generation,max,mean,min
0.0,12.383920367628567,-624.1589593621087,-1094.5321200485316
1.0,42.60843554843093,-331.8650049909562,-1071.7007285153952
2.0,54.13207912679764,-121.60029832778653,-965.1400872128899
3.0,89.85842664250858,-107.00261699805516,-727.1082973372628
4.0,59.769019489538245,-26.82457384249384,-324.10575447920786
5.0,102.5995954260461,-45.304492434648324,-865.7818697376107
6.0,97.69752128903495,-31.13260167460425,-363.38208805644655
7.0,106.77169892486022,-50.26088574744683,-389.57023059407044
8.0,88.27655029274526,-8.783764734213522,-206.24981248905775
9.0,107.7498034471722,26.39525442230167,-82.18726700706416
